company_name,service_category,certificate_number,found_website,email,phone,website_match_score,contact_score,final_confidence,status,notes
CHUBROCK GLOBAL VENTURES LIMITED,Procurement and Supplies,NCEC/PS-C-5/9577,https://www.icirnigeria.org/wp-content/uploads/2019/08/FIRS.pdf,info@icirnigeria.org,05 17 17 560 18 18 529 24 24 630 28 28 487 38 38 458 39 39 637 44 44 630 47 47 266 60 60 546 62 62 422 68 68 874 69 69 658 75 75 676 90 90 562 94 94 472 100 100 495 104 104 652 116 116 906 122 122 519 127 127 478 876 876 429,24.29,88.0,46.59,no_match,
BLACK CREEK GLOBAL RESOURCES LIMITED,Construction and Movable Equipment,NCEC/EC-C-5/7468,https://www.blackcreekglobal.com/services,info@blackcreekglobal.com,09061459778,48.96,98.0,66.12,no_match,
BLACK CREEK GLOBAL RESOURCES LIMITED,Procurement and Supplies,NCEC/PS-C-5/7375,https://blackwater-global.com/black-water-global-energy-resources/,info@blackwater-global.com,0907 778 8705,40.69,98.0,60.75,no_match,
DC TRANSCONTINENTAL LTD,Procurement and Supplies,NCEC/PS-C-5/9132,https://tctranscontinental.com/en-us/about-us/management,,005 2006,44.95,25.0,37.97,no_match,
EQUIPOTENTIAL NIG LTD,Non Moveable Assets,NCEC/DA-C-5/8502,https://www.merriam-webster.com/dictionary/equipotential,,,64.74,10.0,45.58,review_needed,
GLITTERING FUTURE VENTURES LIMITED,Procurement and Supplies,NCEC/PS-C-5/8507,https://future.ventures/,,,32.13,0.0,20.88,no_match,
JLAK SOLUTIONS LIMITED,Services and Support,NCEC/SS-C-5/8471,https://jlaksolutions.com/,info@jlaksolutions.com,022 0 03,93.85,97.0,94.95,auto_accept,
KNOCKHALL SERVICES LIMITED,Procurement and Supplies,NCEC/PS-C-5/7944,https://ncc.gov.ng/industry/licensing/list-licensees,,,21.74,0.0,14.13,no_match,
LENK ENERGY LTD,Non Moveable Assets,NCEC/DA-C-5/8861,https://lesenergy.net/,sales@lesenergy.net,+234(0)1 270 0290,38.62,98.0,59.4,no_match,
MANTY GLOBAL SERVICES LIMITED,Non Moveable Assets,NCEC/DA-C-5/8952,https://manty.app/en/home-en/,,,31.76,0.0,20.64,no_match,
